Machine_ID,Temperature,Run_Time,Downtime_Flag
M065,25.5,410,1
M630,20.3,204,1
M537,48.6,109,0
M614,57.9,282,1
M420,38.7,432,0
M516,70.9,70,1
M335,33.1,165,0
M371,62.6,297,0
M432,94.3,139,0
M811,42.9,181,0
M619,24.5,205,0
M355,43.7,476,1
M434,27.1,284,0
M697,72.9,350,1
M697,49.1,286,1
M495,64.3,381,1
M003,54.4,261,1
M489,62.7,161,0
M198,40.3,18,1
M497,59.9,18,0
M657,69.0,79,1
M740,96.2,159,0
M814,40.6,472,0
M118,14.8,351,1
M896,45.6,61,1
M874,32.7,47,0
M668,77.6,433,0
M534,63.9,297,0
M090,55.6,308,1
M423,56.5,258,1
M094,83.5,187,1
M979,54.6,297,1
M585,59.2,464,1
M763,49.3,360,0
M794,30.9,87,0
M450,86.0,118,0
M327,47.6,72,0
M319,92.7,79,0
M138,31.4,65,0
M913,43.1,325,0
M356,72.9,441,1
M737,77.4,124,1
M201,31.1,195,0
M693,31.5,40,1
M870,81.8,227,0
M619,91.3,393,1
M726,64.7,85,0
M805,57.3,440,0
M409,16.7,378,0
M982,95.9,206,1
M459,82.7,130,1
M846,32.6,398,0
M152,37.5,49,0
M438,42.9,126,1
M403,16.2,328,0
M291,42.8,179,1
M576,27.7,298,1
M439,28.5,188,0
M401,87.7,214,0
M948,95.6,340,1
M672,98.9,436,0
M595,18.0,403,0
M138,35.6,184,1
M071,58.5,105,0
M259,14.0,38,0
M327,77.9,431,1
M399,96.6,418,1
M017,89.6,326,1
M602,57.7,249,1
M205,93.2,448,0
M378,88.0,252,0
M810,27.9,306,0
M922,95.0,81,1
M633,86.9,84,0
M596,74.8,12,0
M428,20.1,293,1
M228,84.8,460,1
M342,92.3,338,0
M912,18.1,411,1
M488,45.2,420,0
M814,22.6,182,1
M422,57.5,265,0
M014,34.0,18,1
M452,21.4,301,0
M614,10.5,380,0
M393,44.3,335,0
M334,25.2,114,0
M574,59.5,185,1
M903,85.8,299,1
M762,58.6,319,0
M756,35.2,64,1
M341,20.7,101,0
M628,80.8,163,0
M402,12.8,256,1
M204,66.6,60,1
M898,19.6,264,1
M684,38.3,220,1
M792,72.8,109,0
M025,10.8,381,0
M327,68.9,283,0
M754,99.3,84,0
M361,77.6,183,1
M730,62.6,340,0
M403,19.5,190,1
M790,58.7,425,1
M972,78.0,449,0
M017,24.1,186,1
M481,88.7,363,0
M722,12.9,243,1
M570,17.2,383,1
M576,31.6,23,1
M482,13.9,65,1
M426,96.2,286,0
M963,73.4,253,1
M963,78.9,405,1
M201,96.9,292,0
M621,59.9,438,1
M904,28.8,69,1
M891,28.9,13,0
M493,32.0,257,1
M047,19.0,111,0
M237,64.5,374,0
M760,26.6,423,1
M628,88.2,253,1
M095,42.4,85,1
M351,51.8,267,0
M218,74.7,39,0
M517,99.3,476,0
M454,63.7,210,1
M621,91.3,392,1
M903,21.4,357,1
M833,56.6,306,1
M911,29.8,202,1
M080,43.7,342,1
M239,85.7,168,0
M090,81.7,398,0
M313,20.6,315,0
M096,57.3,439,1
M517,54.7,400,0
M021,25.9,129,1
M830,60.4,127,0
M299,43.7,363,0
M695,42.6,390,1
M332,34.5,65,0
M592,80.7,455,1
M268,23.0,50,1
M427,60.8,214,0
M769,70.0,191,0
M376,100.0,205,1
M906,90.0,160,0
M726,48.8,272,0
M259,88.9,40,0
M896,34.9,315,0
M673,81.2,232,1
M980,78.3,346,0
M257,32.5,184,1
M928,46.0,440,1
M272,65.4,204,0
M937,88.3,112,0
M024,57.4,205,0
M009,31.6,360,1
M717,79.6,99,1
M413,15.5,358,1
M844,10.1,127,1
M874,16.1,98,1
M173,57.8,266,1
M046,33.3,272,0
M689,19.5,312,0
M654,75.0,346,0
M343,11.3,446,0
M337,97.1,140,1
M758,62.2,268,0
M256,76.8,344,0
M346,87.7,375,0
M165,56.4,456,0
M796,73.0,13,0
M992,99.9,131,1
M526,49.5,445,0
M232,12.2,92,1
M546,96.1,397,1
M519,71.8,305,1
M353,96.6,21,0
